DatumName,DatumType
AxisAbstractTime,vector
AxisSizeClassMidPointValues,vector
AxisSizeClassBoundaryValues,vector
HeterotrophFrequency,vector
HeterotrophVolume,vector
HeterotrophApproxVolume,vector
ToHeterotrophFlux,vector
InHeterotrophFlux,vector
AutotrophVolume,vector
ToAutotrophFlux,vector
NutrientVolume,vector
ToNutrientFlux,vector
SizeClassPopulation,matrix
SizeClassVegetarianFrequencies,matrix
SizeClassCarnivoreFrequencies,matrix
SizeClassPreyFrequencies,matrix
SizeClassStarvedFrequencies,matrix
SizeClassParentFrequencies,matrix
SizeClassChildFrequencies,matrix
SizeClassVolumeMutantFrequencies,matrix
SizeClassVolumes,matrix
SizeClassApproxVolumes,matrix
SizeClassEffectivePreyVolumes,matrix
SizeClassGrowthRatios,matrix
SizeClassCouplings,matrix
SizeClassPreyVolumeRatios,matrix
SizeClassFeedingProbabilities,matrix
SizeClassTrophicClassifications,matrix
SizeClassAges,matrix
TrophicFrequencies,matrix
TrophicVolumes,matrix
TrophicAges,matrix
